text,class,system
The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,A,ecommerce
The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,SE,ecommerce
The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US,ecommerce
The product shall respond fast to keep up-to-date data in the display.,PE,ecommerce
The product shall have a consistent color scheme and fonts.,LF,ecommerce
The product shall be easy for a realtor to learn.,US,ecommerce
The product shall generate a CMA report in an acceptable time.,PE,ecommerce
The product shall synchronize contacts and appointments in an acceptable time.,PE,ecommerce
The product shall synchronize with the office system every hour.,PE,ecommerce
The product shall be available for use 24 hours per day  365 days  per year,A,ecommerce
The product shall operate in offline mode whenever internet connection is unavailable.,FT,ecommerce
The product shall allow the user to view previously downloaded search results  CMA reports  and appointments.,FT,ecommerce
The product shall retain user preferences in the event of a failure.,FT,ecommerce
The product shall be able to support multiple remote users,SC,ecommerce
The product shall be able support 1000 simultaneous users.,SC,ecommerce
The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,SC,ecommerce
The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.,US,ecommerce
90% of untrained realtors shall be able to install the product on their device without printed instructions,US,ecommerce
The product is expected to run on Windows CE and Palm operating systems.,PO,ecommerce
The product shall prevent its data from incorrect data being introduced.,SE,ecommerce
The system shall be able to call the seller or buyer to schedule an appointment,F,healthcare
The system shall notify the realtor when a seller or buyer responds to an appointment request,F,healthcare
The product shall allow the user to save the property search results.,F,ecommerce
The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PE,education
The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,SC,education
The system shall interface with the student master server.,O,education
Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,F,education
A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,F,education
A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,F,education
A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.,F,education
Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,F,education
The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,F,education
The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,F,education
A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,F,education
A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.,F,education
The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.,F,education
The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.,F,education
The system shall be able to display a printable summary of the system log.,F,field_service
The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,F,education
The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohorts program of study and changes to a given weeks schedule (lab cancelled this week due to instructor illness).,F,education
The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a students status from full time to part time and moving a student to a different clinical section.,F,education
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section  including the clinical site name  the department/section for the lab  the class  instructor  day and time of lab  and contact information.,F,education
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name  phone number  e-mail  status (full time or part time)  and program of study.,F,education
100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,US,education
100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,US,education
100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,US,education
The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday  Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,O,field_service
The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,O,banking
If a user account is revoked  it can only be re-instantiated by the System Administrator.,SE,banking
Only the System Administrator shall be able to reset a revoked user logon account,SE,banking
The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,L,banking
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,F,banking
The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,F,banking
The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,F,ecommerce
The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,F,field_service
The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,F,banking
The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,F,banking
The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,F,banking
The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,F,healthcare
The product must support Internet Explorer 5.5 and above.,O,ecommerce
The product must support Mozilla Firefox 1.0 and above.,O,ecommerce
The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,O,ecommerce
The product shall run on the existing hardware for all environments.,O,ecommerce
The product shall adhere to the corporate Architecture guidelines,O,ecommerce
The product shall comply with corporate User Interface Guidelines,LF,ecommerce
The product shall comply with corporate color scheme,LF,ecommerce
The appearance of the product shall appear professional,LF,ecommerce
The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,US,ecommerce
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,US,ecommerce
Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,US,ecommerce
The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,US,ecommerce
The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,US,ecommerce
The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,PE,field_service
The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PE,field_service
The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,A,ecommerce
The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,A,ecommerce
The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,SC,ecommerce
The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,SC,ecommerce
For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,O,ecommerce
The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,O,ecommerce
The maintenance of the product will fall within the established corporate maintenance windows.,O,ecommerce
The product shall be supported using the corporate support center.,O,ecommerce
Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,O,ecommerce
Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,SE,field_service
One insurance company shall not be able to view another insurance companys claim data.,SE,healthcare
The product shall free of computer viruses.,SE,ecommerce
The product must comply with Sarbanes-Oxley.,L,ecommerce
The product shall comply with the estimatics laws relating to recycled parts usage.,L,ecommerce
The product shall comply with insurance regulations regarding claims processing.,L,ecommerce
The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,F,field_service
The system shall locate the preferred repair facility with the highest ratings for the input criteria,F,field_service
The adjuster shall enter the preferred repair facility on the estimate assignment.,F,education
The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,F,education
The preferred repair facility shall be returned to the user.,F,field_service
The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,F,field_service
The adjuster shall review the collision estimate.,F,ecommerce
The user shall select to view the preferred repair facility ratings.,F,field_service
The current repair facility ratings shall be displayed to the user.,F,field_service
The user shall select to save the preferred repair facility ratings.,F,field_service
The preferred repair facility ratings shall be saved by the system.,F,field_service
The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,O,ecommerce
The product will function alongside server software on any operating system where the Java runtime can be installed.,O,ecommerce
The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O,ecommerce
The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,O,ecommerce
A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,O,ecommerce
The product shall have a conservative and professional appearance.,LF,ecommerce
The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,US,ecommerce
The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,US,ecommerce
The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,US,ecommerce
The product shall allow the user to select a chosen language from one of the target market countries.,US,ecommerce
The product shall allow for customization of start page and views preferences.,US,ecommerce
An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,US,ecommerce
The product shall use a standard navigation menu familiar to most web users.,US,ecommerce
The product shall allow for intuitive searching of available conference rooms.,US,ecommerce
The product shall conform to the Americans with Disabilities Act.,US,ecommerce
Aside from server failure  the software product shall achieve 99.99% up time.,A,ecommerce
The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,FT,ecommerce
The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,SC,ecommerce
The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,SC,ecommerce
The product shall be expected to operate for at least 5 years for each customer installation.,SC,ecommerce
The product shall be used in office environments.,O,ecommerce
The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,O,ecommerce
The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,O,ecommerce
The product must be able to interface with various email servers. The product shall be able to send email.,O,ecommerce
The product shall be available for distribution via the Internet as a binary or ZIP file.,O,ecommerce
The product shall be available for distribution as a packaged CD.,O,ecommerce
The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,O,ecommerce
A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.,US,field_service
The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,MN,ecommerce
The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product�s software code.,MN,ecommerce
Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,MN,ecommerce
The customer shall be able to easily integrate new building maps with the product throughout the products lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,MN,ecommerce
The product shall be translated into foreign languages other than the target market countries languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market�s language.,US,ecommerce
The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,O,ecommerce
The product shall be able to be installed in any operating environment within 2 days.,O,ecommerce
The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.,SE,ecommerce
The product shall ensure that the databases data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,SE,ecommerce
The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems data shall remain 100% uncorrupted each time malicious data is input into the product.,SE,ecommerce
The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,FT,ecommerce
The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,SE,ecommerce
The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,SC,ecommerce
The product shall be able to display calendar dates and times according to the users locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,US,ecommerce
The product must be developed with the J2SE/J2EE programming language libraries,O,ecommerce
The product shall record meeting entries.,F,ecommerce
The product will notify employees of meeting invitations.,F,ecommerce
The product shall have the ability to send meeting reminders to employees.,F,ecommerce
The product shall assign the organizers contact information to each meeting they create.,F,ecommerce
The product will record meeting acknowledgements.,F,ecommerce
The product shall store new conference rooms.,F,ecommerce
The product shall update existing conference rooms.,F,ecommerce
The product will be able to delete conference rooms.,F,ecommerce
The product shall be able to store new room equipment.,F,ecommerce
The product will update existing room equipment.,F,ecommerce
The product shall be able to delete room equipment.,F,ecommerce
The product shall allow an organizer to invite other employees to meetings.,F,ecommerce
The product shall record the transportation status of equipment reserved.,F,ecommerce
The product shall display a map of the company building showing conference room locations.,F,ecommerce
The product shall record updated meeting agendas.,F,ecommerce
The product shall send a meeting confirmation to the meeting organizer.,F,ecommerce
The product shall display room equipment according to search parameters.,F,ecommerce
The product shall display conference rooms according to search parameters.,F,ecommerce
The product shall record different meeting types.,F,ecommerce
The product shall record all the equipment that has been reserved.,F,ecommerce
The product shall notify building personnel of equipment transport requests.,F,ecommerce
The product will allow priviledged users to view meeting schedules in multiple reporting views.,F,ecommerce
The product shall be able to send meeting notifications via different kinds of end-user specified methods.,F,ecommerce
The product shall have a customizable Look and Feel.,F,ecommerce
The product shall have an intuitive user interface.,F,ecommerce
The product will display an available status for unreserved conference rooms.,F,ecommerce
Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,PE,ecommerce
The System shall utilize currently owned computer equipment.,O,field_service
The System shall allow generation of Inventory Quantity Adjustment documents on demand.,F,ecommerce
The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,F,ecommerce
The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,F,banking
The System shall allow entering  storing and modifying product formulas.,F,ecommerce
Product formulas shall allow use of semi-products  which have own formulas.,F,ecommerce
Product formula ingredients shall allow defining substitutionary ingredients.,F,ecommerce
Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,F,ecommerce
Formula substitutionary ingredients shall be kept in persisted order,F,ecommerce
Product shall allow entering  storing and modifying product menus used by POS terminals.,F,ecommerce
PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,F,ecommerce
PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,F,ecommerce
PME Subsystem shall allow for a product to exist in more than one submenu,F,ecommerce
The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,F,ecommerce
The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,F,ecommerce
Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,PE,ecommerce
System shall let existing customers log into the website with their email address and password in under 5 seconds.,PE,field_service
System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,PE,banking
System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,PE,banking
The product should be able to be used by 90% of novice users on the Internet.,US,ecommerce
Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,US,banking
The product shall retain the customers buying preferences and information.,US,ecommerce
The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,US,ecommerce
The product shall use symbols and words that are naturally understandable by users familiar with websites,US,ecommerce
When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.,PE,banking
All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.,SE,banking
The website shall continue to operate if the payment gateway goes down.,FT,banking
The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,MN,ecommerce
Website must interface with the CyberSource API to process credit card transactions.,O,banking
Izogn Administrator must be able to update the category listings on the website within 2 minutes.,PE,ecommerce
The product shall be able to be installed in the specified environment within 1 working day.,O,ecommerce
Only registered customers can purchase streaming movies.,SE,ecommerce
A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.,SE,ecommerce
Only authorized personnel can access customer records in the database.,SE,ecommerce
All customer information will be stored on a secure database  accessible only to authorized personnel.,SE,ecommerce
All credit card information will be encrypted in the database.,SE,banking
IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,L,ecommerce
Website shall request  and authorize credit card payment before allowing a user to stream a movie.,F,banking
shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.,F,ecommerce
Website shall allow customers to add their own movie review for a selected movie.,F,ecommerce
Website shall allow the Izogn administrator to approve a review posted by a customer.,F,ecommerce
Website shall allow customers to purchase pre-paid cards of $5  $10  or $20 value either by credit card or mail-in payment option.,F,banking
System shall allow users to update their billing and contact information via the My Account section of the website.,F,banking
Only registered customers can purchase streaming movies.,F,ecommerce
Movies can only be streamed if the customer has purchased a movie  and is within the 2-day time period to stream the movie.,F,ecommerce
All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.,F,banking
For leads that process longer than 25 seconds the system will record the event and duration,PE,healthcare
The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,PE,education
Washing parameters will be updated during scheduled maintenance hours.,MN,field_service
The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,F,ecommerce
The product shall simulate the look of ships at sea.,LF,ecommerce
The product shall display the grids within a circle as a view from a periscope.,LF,ecommerce
The product shall display each type of ship in a grid using an image of the specific type of ship.,LF,ecommerce
When the offensive player takes a shot  the product shall simulate the sound of a ship at sea.,LF,ecommerce
When a shot is marked as a miss  the product shall simulate the sound of a shot missing its target.,LF,ecommerce
When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target.,LF,ecommerce
When a ship is sunk  the product shall simulate the sound of a sinking ship.,LF,ecommerce
The product shall be available 24 hours per day  seven days per week.,A,ecommerce
The product shall able to handle a large number of games simultaneously.,PE,ecommerce
The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,PE,ecommerce
The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.,US,ecommerce
The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.,US,ecommerce
The product shall provide players no access to information that might reveal the identity of another player,SE,ecommerce
The product shall maintain a list of players.,F,ecommerce
The product shall allow a user to identify himself or herself as a player.,F,ecommerce
Once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players.,F,ecommerce
The product shall allow a user to remove himself or herself from the list of players at any time.,F,ecommerce
The product shall make inactive players unavailable for selection from the list of players.,F,ecommerce
The product shall remove players who have been inactive for 24 hours from the list of players.,F,ecommerce
The product shall allow a player to initiate a game by selecting another available player from the list of players.,F,ecommerce
Once a game is initiated  the product shall display a defensive grid to each player,F,ecommerce
Once a game is initiated  the product shall display an offensive grid to each player.,F,ecommerce
The product shall prevent a player from viewing the offensive or defensive grids of the other player.,F,ecommerce
Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.,F,ecommerce
The product shall allow a player to position ships horizontally on their grid.,F,ecommerce
The product shall allow the player to position ships vertically on their grid.,F,ecommerce
The product shall allow the player to position ships diagonally on their grid,F,ecommerce
The product shall prevent the player from overlapping ships on their grid.,F,ecommerce
When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.,F,ecommerce
For each turn  the product shall identify one player as offensive status and one player as defensive status.,F,ecommerce
The product shall maintain the status of each player for a turn  either offensive or defensive.,F,ecommerce
At the start of each turn  the product shall notify each player of his or her status.,F,ecommerce
For each turn  the product shall allow the offensive player to define a shot.,F,ecommerce
For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,F,ecommerce
For each shot  the product shall notify the players whether the shot was a hit or miss.,F,ecommerce
For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,F,ecommerce
For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,F,ecommerce
When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.,F,ecommerce
When the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player.,F,ecommerce
When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,F,ecommerce
When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player.,F,ecommerce
If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,F,ecommerce
If the shot was marked as a miss  the product shall change the status of the offensive player to defensive,F,ecommerce
If the shot was marked as a miss  the product shall change the status of the defensive player to offensive,F,ecommerce
The product shall continue to assign turns until the game is ended.,F,ecommerce
The product shall end a game when a hit by the offensive player results in sinking the last of the defensive players ships  which had not been previously marked as sunk.,F,ecommerce
The product shall allow a player to end a game at any time during the game.,F,ecommerce
When a game is ended  the product shall notify the players that the game is ended.,F,ecommerce
When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.,F,ecommerce
When a game is ended  the product shall allow each player to remove himself or herself from the list of players.,F,ecommerce
The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,MN,ecommerce
The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,SE,ecommerce
The product shall ensure that only supervisors can enter a callers schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.,SE,ecommerce
The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,SE,ecommerce
The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,LF,ecommerce
The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,LF,ecommerce
The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,US,ecommerce
The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,US,banking
The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),US,ecommerce
The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,PE,ecommerce
The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,PE,ecommerce
The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,PE,ecommerce
The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,PE,ecommerce
The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,PE,ecommerce
The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,A,ecommerce
The product shall be robust.The product shall have fault avoidance based on standards adoption.,FT,ecommerce
The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,FT,banking
The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,SC,ecommerce
The product shall be platform independent.The product shall enable access to any type of development environment and platform.,O,ecommerce
The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,O,ecommerce
: The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,MN,ecommerce
The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,MN,ecommerce
The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.,MN,ecommerce
The product shall have security.The product shall provide authentication  and authorization.,SE,ecommerce
The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,SE,ecommerce
The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,SE,banking
The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,LF,field_service
Each team owner will need to use a username and password in order to be authenticated to reach the team owners page,SE,ecommerce
The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,PE,banking
The RFS system should be able to easily interface with the BDW environment  in order to load the data.7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process  every year. The data will be as of October month-end.         Test files (7) shall be loaded up to 5 times throughout the year  from the BDW.,O,ecommerce
The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group  prior to implementation. The remaining 5% will be corrected and approved within one month of product release.,LF,ecommerce
The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.,US,ecommerce
The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time  the response time should not be more than 10 seconds.not be more than 10 seconds.,PE,ecommerce